"","X","nÃºm_corre","aÃ.o_ocu","mes_ocu","dÃ.a_ocu","dÃ.a_sem_ocu","hora_ocu","g_hora","g_hora_5","depto_ocu","mupio_ocu","Ã.rea_geo_ocu","zona_ocu","sexo_per","edad_per","mayor_menor","g_edad_80ymÃ.s","g_edad_60ymÃ.s","edad_quinquenales","estado_con","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","deptoName"
"1",0,1,2015,"Enero",1,"Jueves",16,3,2,1,101,1,1,"Hombre",19,1,2,2,4,9,4,21,"Negro",2011,5,1,"Guatemala"
"2",1,2,2015,"Enero",1,"Jueves",22,4,3,1,101,1,16,"Hombre",32,1,5,5,7,1,4,21,"Negro",9999,6,1,"Guatemala"
"3",3,4,2015,"Enero",1,"Jueves",9,2,1,1,101,1,12,"Hombre",20,1,3,3,5,9,4,40,"Negro",9999,6,2,"Guatemala"
"4",5,6,2015,"Enero",1,"Jueves",8,2,1,1,114,2,99,"Hombre",19,1,2,2,4,1,4,41,"Gris",9999,6,3,"Guatemala"
"5",12,13,2015,"Enero",2,"Viernes",10,2,1,1,101,1,10,"Hombre",22,1,3,3,5,9,4,49,"Azul",9999,6,1,"Guatemala"
"6",18,19,2015,"Enero",2,"Viernes",7,2,1,12,1201,2,99,"Hombre",16,2,2,2,4,9,4,42,"Negro",9999,6,1,"San Marcos"
"7",20,21,2015,"Enero",2,"Viernes",17,3,2,18,1801,2,99,"Mujer",45,1,8,8,10,9,4,99,"Rojo",9999,6,3,"Izabal"
"8",29,30,2015,"Enero",3,"Sabado",19,4,3,18,1801,2,99,"Hombre",20,1,3,3,5,9,4,14,"Negro",9999,6,1,"Izabal"
"9",32,33,2015,"Enero",4,"Domingo",17,3,2,1,101,1,1,"Hombre",35,1,6,6,8,9,4,37,"Negro",2011,5,1,"Guatemala"
"10",38,39,2015,"Enero",4,"Domingo",10,2,1,5,502,2,99,"Hombre",22,1,3,3,5,9,4,2,"Negro",2014,5,3,"Escuintla"
"11",48,49,2015,"Enero",4,"Domingo",17,3,2,4,407,2,99,"Hombre",24,1,3,3,5,2,4,41,"Negro",9999,6,1,"Chimaltenango"
"12",56,57,2015,"Enero",6,"Martes",4,1,1,10,1014,2,99,"Hombre",27,1,4,4,6,1,4,2,"Rojo",9999,6,3,"Suchitepéquez"
"13",74,75,2015,"Enero",9,"Viernes",20,4,3,1,101,1,1,"Hombre",20,1,3,3,5,9,4,21,"Corinto",9999,6,1,"Guatemala"
"14",75,76,2015,"Enero",9,"Viernes",23,4,3,1,101,1,6,"Hombre",20,1,3,3,5,9,4,24,"Negro",9999,6,1,"Guatemala"
"15",82,83,2015,"Enero",10,"Sabado",12,3,2,1,115,2,99,"Hombre",50,1,9,9,11,9,4,99,"Rojo",9999,6,1,"Guatemala"
"16",87,88,2015,"Enero",10,"Sabado",21,4,3,5,507,2,99,"Hombre",26,1,4,4,6,9,4,99,"Azul",9999,6,1,"Escuintla"
"17",91,92,2015,"Enero",10,"Sabado",18,4,3,13,1301,1,11,"Hombre",19,1,2,2,4,9,4,42,"Azul",2006,4,1,"Huehuetenango"
"18",93,94,2015,"Enero",10,"Sabado",11,2,1,18,1801,1,99,"Hombre",28,1,4,4,6,9,4,21,"Azul",2006,4,1,"Izabal"
"19",97,98,2015,"Enero",11,"Domingo",1,1,1,1,101,1,18,"Hombre",21,1,3,3,5,1,4,2,"Negro",9999,6,1,"Guatemala"
"20",99,100,2015,"Enero",11,"Domingo",15,3,2,1,115,2,12,"Hombre",29,1,4,4,6,1,4,21,"Negro",9999,6,3,"Guatemala"
"21",100,101,2015,"Enero",11,"Domingo",11,2,1,1,117,1,9,"Hombre",23,1,3,3,5,1,4,2,"Negro",2014,5,2,"Guatemala"
"22",101,102,2015,"Enero",11,"Domingo",0,1,1,1,115,2,99,"Hombre",28,1,4,4,6,1,4,99,"Negro",9999,6,4,"Guatemala"
"23",105,106,2015,"Enero",11,"Domingo",18,4,3,11,1101,2,99,"Hombre",29,1,4,4,6,2,4,42,"Rojo",9999,6,2,"Retalhuleu"
